layer_index,hook_name,activation_name,direct_target_weight_names,block_weight_names,token_count,hidden_size,effective_rank,effective_rank_ratio,second_moment_effective_rank,second_moment_effective_rank_ratio,covariance_trace,covariance_top_eigenvalue,second_moment_trace,second_moment_top_eigenvalue,positive_covariance_eigenvalues
0,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,362.8796333190263,0.35437464191311163,82.03760469055466,0.08011484833061978,134.26523451772925,8.714743216664477,207.524419307642,77.24519025617138,1024
1,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,262.2029705967907,0.2560575884734284,12.85718466908963,0.012555844403407842,524.8269724627096,55.70540292884916,1482.7773485197426,986.1344760935197,1024
2,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,281.9363457302062,0.2753284626271545,20.120548260676607,0.019648972910817,423.6471551556003,41.9798239046386,993.0978717594413,595.0077356917413,1024
3,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,292.08552662010305,0.2852397720899444,25.31584303295813,0.024722502961873175,550.0913671188056,58.27479230329716,1188.7714913789305,670.066210945132,1024
4,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,359.68342205115255,0.35125334184682866,45.74512916469211,0.04467297769989464,532.8016538263685,42.482925932082864,986.9257410010404,467.3187219053127,1024
5,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,398.53311179759856,0.38919249198984235,68.43902543994132,0.0668349857811927,433.4628080388799,27.908015941837952,722.5418032773871,297.99073503845,1024
6,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,389.26122067612187,0.38013791081652526,70.58740814554936,0.06893301576713805,528.7377954558526,32.032322653266014,871.291251467137,350.959481682483,1024
7,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,390.3439418736289,0.38119525573596574,63.44850478240721,0.061961430451569544,588.5046633293296,39.14532934049883,1000.9900374705014,423.0484406994397,1024
8,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,365.0895207011852,0.3565327350597512,65.76500561294165,0.06422363829388833,601.2446581526249,41.290479538456054,999.5673057014271,409.12214741882383,1024
9,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,314.09405194513687,0.3067324726026727,41.42339230246736,0.040452531545378284,615.3874940810445,52.00329041931542,1150.2934954498385,549.7188798958316,1024
10,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,297.6504758270696,0.29067429279987267,34.7089457050956,0.03389545479013242,608.2078952711248,56.369589897150334,1192.1144292244821,603.9333776545009,1024
11,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,298.1661307997103,0.2911778621090921,52.71200997496624,0.05147657224117797,522.644533523102,42.60738278639522,892.686132216953,385.8519276096208,1024
12,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,297.410779664746,0.2904402145163535,52.84698555923863,0.05160838433519398,495.4354569948062,41.13952884122402,844.3404741837841,365.0799692864198,1024
13,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,299.3761626409108,0.2923595338290145,60.709544782839586,0.05928666482699178,601.3674038702402,46.69738793518046,983.9191817626515,399.58194914072874,1024
14,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,298.1413112623489,0.2911536242796376,62.41107857171719,0.06094831891769257,649.439717237552,50.93524374880724,1054.236569120456,421.09963928778393,1024
15,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,251.6299821720854,0.24573240446492714,45.20450296717534,0.044145022428882165,772.0746556524919,75.46151913544543,1340.8783876711673,596.1103956270526,1024
16,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,219.80522009772315,0.21465353525168276,40.08061576378447,0.03914122633182077,871.8330544477993,89.91892267431228,1536.3777933830872,696.0410023282616,1024
17,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,197.92164951083603,0.19328286085042581,39.75025996393241,0.03881861324602774,1379.0767218257652,143.19541520660152,2385.947293769139,1058.1058314317547,1024
18,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,200.4981937471705,0.19579901733122118,44.517997740449,0.043474607168407224,1699.8914531175883,174.73711947507508,2839.662357786926,1198.090205765891,1024
19,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,207.32949709019636,0.20247021200214488,53.9402480306546,0.052676023467436134,1964.244351190906,181.75983777299615,3110.330660032811,1194.243012186975,1024
20,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,212.8535873720566,0.20786483141802403,60.03521970189565,0.05862814424013247,2317.990400439046,201.12131285271187,3565.632258392685,1300.1696485751465,1024
21,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,241.33974139415142,0.235683341205226,67.4865064881627,0.06590479149234639,2414.682672410103,208.69755957618435,3661.824250579685,1317.8056093260802,1024
22,post_attention_layernorm,mlp_input,mlp.gate_proj;mlp.up_proj,mlp.gate_proj;mlp.up_proj;mlp.down_proj,65536,1024,252.63023868510336,0.24670921746592125,72.43399697337989,0.0707363251693163,2575.8548311916925,204.63993021410442,3849.613346748609,1355.2968139657282,1024
