layer_index,activation_effective_rank,activation_effective_rank_ratio,activation_second_moment_effective_rank,activation_second_moment_effective_rank_ratio,activation_token_count,activation_hidden_size,gate_proj_weight_effective_rank,gate_proj_weight_effective_rank_ratio,up_proj_weight_effective_rank,up_proj_weight_effective_rank_ratio,down_proj_weight_effective_rank,down_proj_weight_effective_rank_ratio,average_mlp_weight_effective_rank_ratio,weight_activation_gap
0,362.8796333190263,0.35437464191311163,82.03760469055466,0.08011484833061978,65536,1024,735.4176635742188,0.718181312084198,854.6103515625,0.8345804214477539,837.189208984375,0.8175675868988037,0.7901097734769186,0.43573513156380694
1,262.2029705967907,0.2560575884734284,12.85718466908963,0.012555844403407842,65536,1024,779.0768432617188,0.7608172297477722,833.3616333007812,0.8138297200202942,810.2685546875,0.7912778854370117,0.788641611735026,0.5325840232615976
2,281.9363457302062,0.2753284626271545,20.120548260676607,0.019648972910817,65536,1024,755.8449096679688,0.7381297945976257,817.9677124023438,0.7987965941429138,816.1085815429688,0.7969810366630554,0.7779691418011984,0.5026406791740439
3,292.08552662010305,0.2852397720899444,25.31584303295813,0.024722502961873175,65536,1024,790.007080078125,0.771491289138794,836.830810546875,0.8172175884246826,806.469482421875,0.7875678539276123,0.7920922438303629,0.5068524717404186
4,359.68342205115255,0.35125334184682866,45.74512916469211,0.04467297769989464,65536,1024,763.8303833007812,0.7459281086921692,829.2371826171875,0.8098019361495972,803.9530029296875,0.785110354423523,0.7802801330884298,0.42902679124160115
5,398.53311179759856,0.38919249198984235,68.43902543994132,0.0668349857811927,65536,1024,772.1902465820312,0.7540920376777649,822.4195556640625,0.803144097328186,803.6429443359375,0.784807562828064,0.7806812326113383,0.3914887406214959
6,389.26122067612187,0.38013791081652526,70.58740814554936,0.06893301576713805,65536,1024,762.4839477539062,0.7446132302284241,823.687255859375,0.8043820858001709,763.025146484375,0.7451417446136475,0.7647123535474142,0.3845744427308889
7,390.3439418736289,0.38119525573596574,63.44850478240721,0.061961430451569544,65536,1024,742.9056396484375,0.7254937887191772,812.7237548828125,0.7936755418777466,760.3701171875,0.742548942565918,0.7539060910542806,0.3727108353183149
8,365.0895207011852,0.3565327350597512,65.76500561294165,0.06422363829388833,65536,1024,745.6567993164062,0.728180468082428,809.1415405273438,0.7901772856712341,739.8497924804688,0.7225095629692078,0.7469557722409567,0.39042303718120547
9,314.09405194513687,0.3067324726026727,41.42339230246736,0.040452531545378284,65536,1024,717.4553833007812,0.7006400227546692,797.988037109375,0.779285192489624,742.5174560546875,0.7251147031784058,0.7350133061408997,0.42828083353822693
10,297.6504758270696,0.29067429279987267,34.7089457050956,0.03389545479013242,65536,1024,717.4085083007812,0.7005942463874817,790.6590576171875,0.7721279859542847,757.9859619140625,0.7402206659317017,0.7376476327578226,0.44697333995794997
