base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_cca,gaussian_mi_logdet,gaussian_mi_bits,mlp_output_effective_rank_centered,mlp_output_effective_rank_centered_ratio,top_5_canonical_correlations,cca_effective_dims_l,cca_effective_dims_L
Llama-3.2-1B,0,15,2048,65536,121.9542236328125,124.154296875,175.94275365052223,11.533317565917969,0.005631502717733383,"0.972720,0.968956,0.956336,0.950503,0.934536",2035,2010
Llama-3.2-1B,1,15,2048,65536,inf,121.7177734375,inf,1.0411815643310547,0.0005083894357085228,"1.000000,0.999921,0.964461,0.953467,0.935666",1442,2010
Llama-3.2-1B,2,15,2048,65536,121.43799591064453,123.171875,175.1979944757811,1032.660400390625,0.5042287111282349,"0.967106,0.952724,0.940749,0.926826,0.923502",2043,2010
Llama-3.2-1B,3,15,2048,65536,135.23239135742188,137.2421875,195.09910037890805,1083.095458984375,0.5288552045822144,"0.965374,0.956544,0.941757,0.926395,0.919632",2041,2010
Llama-3.2-1B,4,15,2048,65536,143.2256317138672,145.6123046875,206.63090860178525,1040.267578125,0.5079431533813477,"0.963381,0.957834,0.941187,0.931806,0.928588",2032,2010
Llama-3.2-1B,5,15,2048,65536,146.03514099121094,148.615234375,210.6841737035406,912.28271484375,0.4454505443572998,"0.960338,0.960130,0.946391,0.936685,0.935436",2030,2010
Llama-3.2-1B,6,15,2048,65536,145.92642211914062,148.78125,210.52732552595373,967.8538208007812,0.47258487343788147,"0.963172,0.959848,0.949872,0.940152,0.934878",2027,2010
Llama-3.2-1B,7,15,2048,65536,156.1705322265625,158.5390625,225.30645237625177,942.4933471679688,0.46020182967185974,"0.969451,0.967975,0.961054,0.947034,0.941696",2037,2010
Llama-3.2-1B,8,15,2048,65536,179.69622802734375,182.0712890625,259.2468570415012,1038.576416015625,0.5071173906326294,"0.972480,0.971154,0.969501,0.950981,0.948907",2042,2010
Llama-3.2-1B,9,15,2048,65536,218.73126220703125,222.181640625,315.56250727346753,996.3123779296875,0.4864806532859802,"0.978156,0.977171,0.975062,0.962863,0.958730",2033,2010
Llama-3.2-1B,10,15,2048,65536,242.37237548828125,245.666015625,349.6694241654211,1032.51171875,0.5041561126708984,"0.981869,0.979934,0.978030,0.967392,0.960681",2041,2010
Llama-3.2-1B,11,15,2048,65536,277.6010437011719,281.265625,400.4936490932811,972.69091796875,0.4749467372894287,"0.984911,0.983323,0.979789,0.974073,0.966349",2042,2010
Llama-3.2-1B,12,15,2048,65536,295.65130615234375,300.669921875,426.534673218331,966.7366943359375,0.4720394015312195,"0.988800,0.985179,0.983469,0.978356,0.967657",2031,2010
Llama-3.2-1B,13,15,2048,65536,331.32684326171875,337.5,478.00359368707655,811.9107666015625,0.3964408040046692,"0.990125,0.987718,0.984539,0.980664,0.975173",2026,2010
Llama-3.2-1B,14,15,2048,65536,371.8077392578125,378.1328125,536.4051815913829,554.7280883789062,0.2708633244037628,"0.993618,0.991845,0.991339,0.989963,0.986499",2032,2010
Llama-3.2-1B,15,15,2048,65536,nan,nan,nan,4.618652820587158,0.0022552015725523233,,0,0
