base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_logdet,gaussian_mi_cca,gaussian_mi_bits,residual_effective_rank,residual_effective_rank_ratio,top_5_canonical_correlations
Llama-3.2-1B,0,15,2048,65536,157.6865234375,157.6851348876953,227.49356537830255,18.79665756225586,0.009178055450320244,"0.981052,0.977417,0.974728,0.967372,0.958659"
Llama-3.2-1B,1,15,2048,65536,169.9853515625,inf,245.23702372298575,1.0493247509002686,0.0005123656010255218,"137.021820,118.688774,99.221146,1.859920,1.248641"
Llama-3.2-1B,2,15,2048,65536,187.0146484375,inf,269.8051058743742,1.07973051071167,0.0005272121634334326,"247.876968,171.652374,142.893570,2.276324,1.575182"
Llama-3.2-1B,3,15,2048,65536,207.845703125,inf,299.85796516851724,1.109110713005066,0.0005415579653345048,"395.920380,197.954330,185.272858,1.834242,1.298653"
Llama-3.2-1B,4,15,2048,65536,227.037109375,inf,327.5453117930777,1.1321699619293213,0.0005528173642233014,"350.359222,237.492950,208.094894,1.741568,1.448873"
Llama-3.2-1B,5,15,2048,65536,236.072265625,inf,340.5802869086096,1.1497368812561035,0.0005613949615508318,"379.531708,252.484848,223.324814,2.261903,1.633098"
Llama-3.2-1B,6,15,2048,65536,244.5048828125,inf,352.7459819067309,1.161224365234375,0.0005670040845870972,"357.424072,271.698761,251.386108,2.312028,1.396568"
Llama-3.2-1B,7,15,2048,65536,259.65625,inf,374.6047842108249,1.181777000427246,0.0005770395509898663,"410.792450,300.109131,297.539307,2.797307,1.422254"
Llama-3.2-1B,8,15,2048,65536,311.826171875,inf,449.8700717834521,1.2251383066177368,0.0005982120637781918,"489.802124,378.376770,318.829651,4.754122,1.525353"
Llama-3.2-1B,9,15,2048,65536,399.5869140625,inf,576.4820593220932,1.3426953554153442,0.0006556129665113986,"940.647034,410.660126,344.467468,2.173527,1.672529"
Llama-3.2-1B,10,15,2048,65536,481.23486328125,inf,694.2751507587377,1.4602649211883545,0.0007130199810490012,"1033.266479,553.327209,1.846488,1.371041,1.170412"
Llama-3.2-1B,11,15,2048,65536,611.27197265625,inf,881.8790435855859,1.7280561923980713,0.0008437774376943707,"1018.452332,726.944275,3.455934,1.370582,1.103106"
Llama-3.2-1B,12,15,2048,65536,781.7314453125,inf,1127.8000794593056,2.1342713832855225,0.001042124698869884,"1005.550171,877.342651,2.964146,1.543223,1.225709"
Llama-3.2-1B,13,15,2048,65536,1114.4560546875,inf,1607.8202233863358,2.8574063777923584,0.001395217957906425,"1074.189697,1056.075928,2.051958,1.389757,1.221326"
Llama-3.2-1B,14,15,2048,65536,1790.1455078125,inf,2582.6340465907488,4.066150665283203,0.001985425129532814,"1354.268921,1194.137329,1.772523,1.376274,1.279320"
Llama-3.2-1B,15,15,2048,65536,nan,nan,nan,209.11514282226562,0.10210700333118439,
