layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,normalized_mlp_input_effective_rank,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,trace_mix,allocation_rule,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
1,1536,1536,8960,13762560,10496,302.02465260921286,0.19663063320912297,0.0,51634.616271972656,10.851947584528993,0.7767391779794585,0.8883695889897292,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.19418479449486462,1416.755230694292,275.11232332189564,275.11232332189564,275,0.11232332189564431,275,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
2,1536,1536,8960,13762560,10496,318.89691349014436,0.2076151780534794,0.04370456124151481,66234.17065429688,11.10095178177926,0.811890225374974,0.905945112687487,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.23575097727487962,1416.755230694292,334.00143019547687,334.00143019547687,334,0.0014301954768711767,334,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
3,1536,1536,8960,13762560,10496,347.10978161080544,0.22598293073620146,0.1167849285544543,365.56059288978577,5.901432046269919,0.07789229813075355,0.5389461490653767,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.1070617709485291,1416.755230694292,151.6803239987228,151.6803239987228,151,0.6803239987227983,152,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
4,1536,1536,8960,13762560,10496,438.0215014447386,0.28517024833641835,0.35227540935563845,377.6727702617645,5.934028133557895,0.08249377321358678,0.5412468866067934,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.28483000032012556,1416.755230694292,403.53439281219477,403.53439281219477,403,0.534392812194767,404,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
5,1536,1536,8960,13762560,10496,403.57836637245634,0.2627463322737346,0.26305665457585703,380.64302802085876,5.941862001600924,0.083599652832933,0.5417998264164665,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.21819240414012603,1416.755230694292,309.12522986328645,309.12522986328645,309,0.12522986328644947,309,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
6,1536,1536,8960,13762560,10496,688.0772842257177,0.44796698191778495,1.0,387.4365382194519,5.95955206304435,0.08609689663482141,0.5430484483174107,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.7715242241587054,1416.755230694292,1093.0609801842013,1093.0609801842013,1093,0.06098018420129847,1093,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
7,1536,1536,8960,13762560,10496,671.4603346830179,0.4371486553925898,0.9569567769215296,382.5247251987457,5.946793292219921,0.08429578579849577,0.5421478928992479,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.7387915291407711,1416.755230694292,1046.6867633028219,1046.6867633028219,1046,0.6867633028218734,1047,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
8,1536,1536,8960,13762560,10496,674.1350199471381,0.43888998694475134,0.9638850686752227,373.84502148628235,5.923841330482257,0.08105573802512511,0.5405278690125626,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.7431777360126983,1416.755230694292,1052.9009448315321,1052.9009448315321,1052,0.9009448315321151,1053,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
9,1536,1536,8960,13762560,10496,682.1758009707538,0.44412487042366783,0.9847132676437076,331.1106595993042,5.802452638536039,0.0639197230060989,0.5319598615030494,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.7545148814843055,1416.755230694292,1068.9629049795735,1068.9629049795735,1068,0.9629049795735227,1069,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
10,1536,1536,8960,13762560,10496,635.2835969262636,0.4135960917488695,0.8632474357747728,296.23633873462677,5.691157577410116,0.04820859037570335,0.5241042951878516,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.6594877244250054,1416.755230694292,934.3326831578022,934.3326831578022,934,0.3326831578021938,934,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
11,1536,1536,8960,13762560,10496,562.6810258924302,0.36632879289871756,0.6751835162780264,283.1522219181061,5.645984639670491,0.041831685516207,0.5209158427581035,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.5168455585875716,1416.755230694292,732.2436485900553,732.2436485900553,732,0.2436485900552725,732,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
12,1536,1536,8960,13762560,10496,582.5472364286408,0.379262523716563,0.726643366332734,255.3078737258911,5.542470164844683,0.027218910908770183,0.5136094554543851,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.551787252476743,1416.755230694292,781.7474761768576,781.7474761768576,781,0.7474761768576172,782,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
13,1536,1536,8960,13762560,10496,627.3335364456036,0.40842027112343987,0.842654232077725,210.5358418226242,5.349655908569362,0.0,0.5,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.6319906740582938,1416.755230694292,895.3760932220991,895.3760932220991,895,0.37609322209914353,895,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
14,1536,1536,8960,13762560,10496,650.3307113701463,0.423392390214939,0.9022242830012156,238.49065911769867,5.474330144436469,0.017599823707227298,0.5087999118536136,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.6810681681777185,1416.755230694292,964.9068897251625,964.9068897251625,964,0.9068897251625003,965,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
15,1536,1536,8960,13762560,10496,529.0035315850843,0.3444033408757059,0.587948016376551,219.2575432062149,5.390247035249818,0.0057301066951414,0.5028650533475707,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.4423935389561986,1416.755230694292,626.7633603415535,626.7633603415535,626,0.7633603415534935,627,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
16,1536,1536,8960,13762560,10496,495.3448063006381,0.3224901082686446,0.5007611342576334,248.74762725830078,5.516438837333111,0.023544159891590494,0.5117720799457952,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.38145689066612265,1416.755230694292,540.4310451356099,540.4310451356099,540,0.43104513560990654,540,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
17,1536,1536,8960,13762560,10496,438.6436116091802,0.2855752679747267,0.35388687399411706,336.9835247993469,5.820034041321547,0.06640162784713215,0.5332008139235661,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.28201556245737086,1416.755230694292,399.547023248673,399.547023248673,399,0.5470232486729856,400,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
18,1536,1536,8960,13762560,10496,426.2051671898268,0.27747732238921013,0.32166731790076697,402.14364099502563,5.996809340704918,0.09135637558070542,0.5456781877903527,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.2640895823207516,1416.755230694292,374.15029712479566,374.15029712479566,374,0.1502971247956566,374,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
19,1536,1536,8960,13762560,10496,416.2698512566871,0.271009017745239,0.29593166654271796,742.5665254592896,6.610112463241489,0.1779342219229221,0.588967110961461,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.266432305387769,1416.755230694292,377.46936228406076,377.46936228406076,377,0.4693622840607645,378,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
20,1536,1536,8960,13762560,10496,462.790616299944,0.30129597415360937,0.4164353523962818,709.6963429450989,6.564837192558803,0.17154287108150507,0.5857714355407525,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.3552122320675876,1416.755230694292,503.2487877883495,503.2487877883495,503,0.2487877883494889,503,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
21,1536,1536,8960,13762560,10496,468.37901451842833,0.30493425424376847,0.4309110942014451,1254.1466932296753,7.134210694598161,0.251919327289673,0.6259596636448365,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.386163152473502,1416.755230694292,547.0986661682315,547.0986661682315,547,0.09866616823148888,547,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
22,1536,1536,8960,13762560,10496,458.9180152250571,0.2987747494954799,0.4064040749026631,1919.1982278823853,7.5596627881624,0.3119789040781193,0.6559894520390597,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.38279778219652716,1416.755230694292,542.3307602251042,542.3307602251042,542,0.3307602251041999,542,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
23,1536,1536,8960,13762560,10496,492.58759558165394,0.32069504920680597,0.49361907513621517,2758.4831762313843,7.922436233810938,0.36319035642568637,0.6815951782128432,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.46101189545858295,1416.755230694292,653.1410143032375,653.1410143032375,653,0.14101430323751174,653,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
24,1536,1536,8960,13762560,10496,528.0832916590235,0.3438042263405101,0.5855643001402248,3512.853172302246,8.164183855862124,0.39731701860372837,0.6986585093018642,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.5385024797561007,1416.755230694292,762.9262049363027,762.9262049363027,762,0.9262049363027245,763,1,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
25,1536,1536,8960,13762560,10496,535.6493306947316,0.34873003300438254,0.6051627652614883,4596.979732513428,8.43315478694583,0.43528669964101907,0.7176433498205095,5.349655908569362,12.433490266291361,0.5,0.5,0.25,mixture,0.5,0.5626937488563709,1416.755230694292,797.1993119712438,797.1993119712438,797,0.1993119712437874,797,0,656,17056,round,655.6097560975609,17045.853658536584,0.500297619047619
