base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_logdet,gaussian_mi_cca,gaussian_mi_bits,residual_effective_rank,residual_effective_rank_ratio,top_5_canonical_correlations
Qwen2.5-1.5B,0,27,1536,65536,111.53298950195312,111.54714965820312,160.90809084998858,414.363037109375,0.26976760228474933,"0.975000,0.970442,0.963667,0.955732,0.951997"
Qwen2.5-1.5B,1,27,1536,65536,150.6231689453125,inf,217.30329888038287,1.1194816827774048,0.0007288292205582062,"2297.732422,1706.439575,1077.041260,649.393127,1.840328"
Qwen2.5-1.5B,2,27,1536,65536,160.42535400390625,inf,231.44486265429197,1.0470082759857178,0.000681646013011535,"4893.529785,3761.454346,2301.405029,1664.484009,15.130383"
Qwen2.5-1.5B,3,27,1536,65536,168.58837890625,inf,243.22161819955642,1.061340093612671,0.0006909766234457493,"6227.826660,3079.076904,2556.763672,13.774083,1.865243"
Qwen2.5-1.5B,4,27,1536,65536,142.32763671875,inf,205.33537567558656,1.074270248413086,0.0006993946929772695,"5578.893555,4325.223145,2412.908447,1516.208984,12.809170"
Qwen2.5-1.5B,5,27,1536,65536,148.66552734375,inf,214.47901904997073,1.0701684951782227,0.0006967242807149887,"5974.161621,5155.617676,2367.643311,1393.487305,9.020851"
Qwen2.5-1.5B,6,27,1536,65536,154.99908447265625,inf,223.61641051103072,1.0758750438690186,0.0007004394816855589,"6691.089355,5540.585449,2292.305664,1239.179565,6.301688"
Qwen2.5-1.5B,7,27,1536,65536,194.608642578125,inf,280.7609235615937,1.0825676918029785,0.0007047966743508974,"6351.240234,5592.269531,1695.680298,5.011908,1.880466"
Qwen2.5-1.5B,8,27,1536,65536,169.514404296875,inf,244.55759043834837,1.0874882936477661,0.000708000191176931,"7091.332031,5935.329102,9.794132,1.678086,1.199773"
Qwen2.5-1.5B,9,27,1536,65536,200.875732421875,inf,289.8024229999774,1.0931808948516846,0.0007117063117523988,"6861.974121,5778.718262,8.158164,1.566473,1.217351"
Qwen2.5-1.5B,10,27,1536,65536,176.43511962890625,inf,254.54207212727405,1.093654751777649,0.0007120148123552402,"6942.462402,5617.030762,6.785161,2.196685,1.261210"
Qwen2.5-1.5B,11,27,1536,65536,185.34033203125,inf,267.3895778981983,1.0997271537780762,0.0007159681990742683,"7607.883301,5472.192383,1065.668579,8.335866,1.581397"
Qwen2.5-1.5B,12,27,1536,65536,183.714599609375,inf,265.04414179534683,1.1027802228927612,0.0007179558742791414,"8127.901855,5539.247070,1475.118530,238.589920,198.954102"
Qwen2.5-1.5B,13,27,1536,65536,179.9925537109375,inf,259.67436463570994,1.1096111536026,0.0007224030947933594,"8133.386230,5239.092773,7.831998,2.085841,1.311653"
Qwen2.5-1.5B,14,27,1536,65536,212.02728271484375,inf,305.89070930586735,1.1096503734588623,0.0007224286285539468,"8400.571289,5357.584473,9.909740,2.009816,1.365873"
Qwen2.5-1.5B,15,27,1536,65536,195.2529296875,inf,281.6904333791977,1.1131536960601807,0.0007247094375391802,"8717.016602,5263.356445,1240.686890,11.318750,1.871845"
Qwen2.5-1.5B,16,27,1536,65536,237.8994140625,inf,343.2163048983589,1.1190650463104248,0.0007285579728583494,"9720.418945,5469.285156,13.049683,1.596409,1.307968"
Qwen2.5-1.5B,17,27,1536,65536,220.3876953125,inf,317.9522351002916,1.1323699951171875,0.0007372200489044189,"10684.822266,5364.014160,26.670139,2.050553,1.387644"
Qwen2.5-1.5B,18,27,1536,65536,231.600830078125,inf,334.1293690194784,1.1491656303405762,0.0007481547072529793,"11090.636719,5505.756836,1672.301270,25.901943,1.770352"
Qwen2.5-1.5B,19,27,1536,65536,266.0313720703125,inf,383.80214120672656,1.1928069591522217,0.000776567030698061,"10936.793945,5836.538086,2083.028076,16.664375,1.865004"
Qwen2.5-1.5B,20,27,1536,65536,317.6134033203125,inf,458.2192818900811,1.2404394149780273,0.0008075777441263199,"11731.048828,5506.767090,2475.108643,15.046741,1.996552"
Qwen2.5-1.5B,21,27,1536,65536,419.3494873046875,inf,604.993425733802,1.337938904762268,0.0008710539744546016,"11658.155273,6939.543945,14.993761,1.503984,1.312041"
Qwen2.5-1.5B,22,27,1536,65536,508.475830078125,inf,733.5755584656101,1.498389482498169,0.000975513986001412,"12327.190430,7012.538086,23.961344,2.445658,1.185357"
Qwen2.5-1.5B,23,27,1536,65536,626.66796875,inf,904.0907707995849,1.7488770484924316,0.0011385918284455936,"12795.860352,8373.824219,14.039104,1.603714,1.259302"
Qwen2.5-1.5B,24,27,1536,65536,788.915283203125,inf,1138.1641667586607,2.108043670654297,0.0013724242647488911,"13304.127930,9605.334961,13.187880,1.802851,1.271443"
Qwen2.5-1.5B,25,27,1536,65536,1103.595458984375,inf,1592.1516958243374,2.4984264373779297,0.0016265797118345897,"13615.118164,4.068985,2.734051,1.614942,1.400567"
Qwen2.5-1.5B,26,27,1536,65536,1671.2451171875,1671.2421875,2411.097042676301,519.962890625,0.3385175069173177,"0.999367,0.999265,0.999142,0.998987,0.998821"
Qwen2.5-1.5B,27,27,1536,65536,nan,nan,nan,282.5296630859375,0.18393858273824057,
