layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,normalized_mlp_input_effective_rank,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,trace_mix,allocation_rule,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
1,1024,1024,3072,3145728,4096,262.2029705967907,0.2560575884734284,0.34603030675900764,21.612548276782036,3.0732740847504436,0.0,0.5,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.25952273006925575,897.5915779071827,232.94541678564312,232.94541678564312,232,0.9454167856431184,233,1,384,9984,round,384.0,9984.0,0.5
2,1024,1024,3072,3145728,4096,281.9363457302062,0.2753284626271545,0.44069043964628063,90318.28329467773,11.411095191719502,1.0,1.0,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.5805178297347104,897.5915779071827,521.067914794832,521.067914794832,521,0.06791479483194962,521,0,384,9984,round,384.0,9984.0,0.5
3,1024,1024,3072,3145728,4096,292.08552662010305,0.2852397720899444,0.48937561414072217,47.600313514471054,3.8628393476541514,0.09469683419373917,0.5473484170968695,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.3907059191539764,897.5915779071827,350.6943424710938,350.6943424710938,350,0.6943424710938189,351,1,384,9984,round,384.0,9984.0,0.5
4,1024,1024,3072,3145728,4096,359.68342205115255,0.35125334184682866,0.8136397464111151,57.30045059323311,4.0483084874460245,0.11694115167338036,0.5584705758366901,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.6394650977266814,897.5915779071827,573.9784860850627,573.9784860850627,573,0.978486085062741,574,1,384,9984,round,384.0,9984.0,0.5
5,1024,1024,3072,3145728,4096,398.53311179759856,0.38919249198984235,1.0,60.12588867545128,4.096440508781582,0.12271388542696576,0.5613569427134829,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.7806784713567414,897.5915779071827,700.7304209432648,700.7304209432648,700,0.7304209432647895,701,1,384,9984,round,384.0,9984.0,0.5
6,1024,1024,3072,3145728,4096,389.26122067612187,0.38013791081652526,0.9555231459524076,70.38435551524162,4.253971015673989,0.14160737149141703,0.5708036857457085,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.75204420233716,897.5915779071827,675.02854223176,675.02854223176,675,0.02854223175995685,675,0,384,9984,round,384.0,9984.0,0.5
7,1024,1024,3072,3145728,4096,390.3439418736289,0.38119525573596574,0.9607169119322745,79.04982876777649,4.3700783975276005,0.1555327580359382,0.5777663790179691,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.7594208734581904,897.5915779071827,681.6497801029881,681.6497801029881,681,0.6497801029880748,682,1,384,9984,round,384.0,9984.0,0.5
8,1024,1024,3072,3145728,4096,365.0895207011852,0.3565327350597512,0.8395725639425289,77.62460279464722,4.351884423263382,0.15335065625769162,0.5766753281288458,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.6680170870213196,897.5915779071827,599.606511208426,599.606511208426,599,0.6065112084260136,600,1,384,9984,round,384.0,9984.0,0.5
9,1024,1024,3072,3145728,4096,314.09405194513687,0.3067324726026727,0.5949495424644587,92.88763988018036,4.531390589392079,0.1748798020411937,0.5874399010205968,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.48993210735864245,897.5915779071827,439.7589333114351,439.7589333114351,439,0.7589333114351007,440,1,384,9984,round,384.0,9984.0,0.5
10,1024,1024,3072,3145728,4096,297.6504758270696,0.29067429279987267,0.5160704308094815,147.3824923634529,4.993031196333417,0.23024685789652763,0.6151234289482638,3.0732740847504436,11.411095191719502,0.5,0.5,0.25,mixture,0.5,0.444614537581243,897.5915779071827,399.08226434802026,399.08226434802026,399,0.08226434802026006,399,0,384,9984,round,384.0,9984.0,0.5
