layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
1,1024,1024,3072,3145728,4096,262.2029705967907,0.2560575884734284,21.612548276782036,3.0732740847504436,0.0,0.5,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,131.10148529839535,2.8100008012317796,368.3952787311673,368.3952787311673,368,0.39527873116730916,368,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
2,1024,1024,3072,3145728,4096,281.9363457302062,0.2753284626271545,90318.28329467773,11.411095191719502,1.0,1.0,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,281.9363457302062,2.8100008012317796,792.2413573982394,792.2413573982394,792,0.2413573982394155,792,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
3,1024,1024,3072,3145728,4096,292.08552662010305,0.2852397720899444,47.600313514471054,3.8628393476541514,0.09469683419373917,0.5473484170968695,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,159.87255065241897,2.8100008012317796,449.24199542826557,449.24199542826557,449,0.24199542826556808,449,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
4,1024,1024,3072,3145728,4096,359.68342205115255,0.35125334184682866,57.30045059323311,4.0483084874460245,0.11694115167338036,0.5584705758366901,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,200.8726078318184,2.8100008012317796,564.4521889529268,564.4521889529268,564,0.4521889529268037,564,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
5,1024,1024,3072,3145728,4096,398.53311179759856,0.38919249198984235,60.12588867545128,4.096440508781582,0.12271388542696576,0.5613569427134829,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,223.7193292087906,2.8100008012317796,628.6514943277379,628.6514943277379,628,0.6514943277378507,629,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
6,1024,1024,3072,3145728,4096,389.26122067612187,0.38013791081652526,70.38435551524162,4.253971015673989,0.14160737149141703,0.5708036857457085,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,222.19173947980394,2.8100008012317796,624.3589659653319,624.3589659653319,624,0.3589659653318904,624,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
7,1024,1024,3072,3145728,4096,390.3439418736289,0.38119525573596574,79.04982876777649,4.3700783975276005,0.1555327580359382,0.5777663790179691,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,225.5276058679272,2.8100008012317796,633.7327531887605,633.7327531887605,633,0.7327531887605119,634,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
8,1024,1024,3072,3145728,4096,365.0895207011852,0.3565327350597512,77.62460279464722,4.351884423263382,0.15335065625769162,0.5766753281288458,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,210.53811914675904,2.8100008012317796,591.6122834922248,591.6122834922248,591,0.612283492224833,592,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
9,1024,1024,3072,3145728,4096,314.09405194513687,0.3067324726026727,92.88763988018036,4.531390589392079,0.1748798020411937,0.5874399010205968,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,184.5113787858094,2.8100008012317796,518.4771222245048,518.4771222245048,518,0.4771222245047966,518,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
10,1024,1024,3072,3145728,4096,297.6504758270696,0.29067429279987267,147.3824923634529,4.993031196333417,0.23024685789652763,0.6151234289482638,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,183.09178131882936,2.8100008012317796,514.4880522048643,514.4880522048643,514,0.4880522048642888,515,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
11,1024,1024,3072,3145728,4096,298.1661307997103,0.2911778621090921,131.06204295158386,4.875670821400618,0.21617119311227062,0.6080855965561354,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,181.31052952017652,2.8100008012317796,509.48273322345426,509.48273322345426,509,0.48273322345426095,510,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
12,1024,1024,3072,3145728,4096,297.410779664746,0.2904402145163535,136.17220449447632,4.9139202942870455,0.22075865935743352,0.6103793296787168,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,181.53339233099217,2.8100008012317796,510.108977900411,510.108977900411,510,0.10897790041099142,510,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
13,1024,1024,3072,3145728,4096,299.3761626409108,0.2923595338290145,135.45276433229446,4.908622976830011,0.22012332341185814,0.6100616617059291,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,182.63791925585855,2.8100008012317796,513.2126994442676,513.2126994442676,513,0.21269944426762777,513,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
14,1024,1024,3072,3145728,4096,298.1413112623489,0.2911536242796376,158.63427424430847,5.066601390798636,0.239070529395515,0.6195352646977575,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,184.70905619025584,2.8100008012317796,519.0325958893847,519.0325958893847,519,0.032595889384651855,519,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
15,1024,1024,3072,3145728,4096,251.6299821720854,0.24573240446492714,240.63357400894165,5.483275336652188,0.28904449027904616,0.644522245139523,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,162.18112105397063,2.8100008012317796,455.72908010632574,455.72908010632574,455,0.729080106325739,456,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
16,1024,1024,3072,3145728,4096,219.80522009772315,0.21465353525168276,724.3226075172424,6.585236883633182,0.42120870114942977,0.7106043505747148,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,156.19454568047482,2.8100008012317796,438.906798510168,438.906798510168,438,0.9067985101680165,439,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
17,1024,1024,3072,3145728,4096,197.92164951083603,0.19328286085042581,770.0903038978577,6.646507785760653,0.4285572519688109,0.7142786259844054,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,141.37120386516702,2.8100008012317796,397.2531961322206,397.2531961322206,397,0.25319613222058024,397,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
18,1024,1024,3072,3145728,4096,200.4981937471705,0.19579901733122118,1198.0179481506348,7.088423760324968,0.48155862593627896,0.7407793129681395,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,148.52491421538187,2.8100008012317796,417.3551279481044,417.3551279481044,417,0.3551279481043821,417,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
19,1024,1024,3072,3145728,4096,207.32949709019636,0.20247021200214488,2415.680944442749,7.7897364909147,0.5656708564090039,0.782835428204502,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,162.30487563402792,2.8100008012317796,456.0768305754428,456.0768305754428,456,0.07683057544278427,456,0,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
20,1024,1024,3072,3145728,4096,212.8535873720566,0.20786483141802403,3530.3433628082275,8.169150415114276,0.6111760212874452,0.8055880106437225,3.0732740847504436,11.411095191719502,0.7,0.5,0.7,171.47229800943487,2.8100008012317796,481.8372947955665,481.8372947955665,481,0.8372947955664927,482,1,538,13988,round,537.5999999999999,13977.599999999999,0.7005208333333334
