base_model_id,layer_index,alpha,w,hidden_size,intermediate_size,max_rank,uniform_rank,uniform_rank_ratio,rank_signal_raw,rank_signal,importance_signal_raw,importance_signal,protection_score,mlp_input_effective_rank_centered_ratio,mlp_output_effective_rank_centered_ratio,mlp_output_uncentered_trace_log,raw_rank,clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,target_rank_ratio
Qwen3-0.6B,0,0.8,0.5,1024,3072,1024,614,0.599609375,0.3931065499782562,0.8104531324396645,2.8837237918340533,0.0,0.4052265662198323,0.3543747663497925,0.43183833360671997,2.8837237918340533,467.51230388777026,467.51230388777026,467,0.5123038877702584,468,1,0.45703125
Qwen3-0.6B,1,0.8,0.5,1024,3072,1024,614,0.599609375,0.33867600560188293,0.6793775527249376,3.0732739337569326,0.02150055242095408,0.35043905257294583,0.2560577392578125,0.42129427194595337,3.0732739337569326,404.3036229558216,404.3036229558216,404,0.30362295582159504,404,0,0.39453125
Qwen3-0.6B,2,0.8,0.5,1024,3072,1024,614,0.599609375,0.138154007086996,0.19649542280996765,11.411095861077905,0.9672544073449042,0.5818749150774359,0.27532777190208435,0.0009802422719076276,11.411095861077905,671.3125564792724,671.3125564792724,671,0.31255647927241625,671,0,0.6552734375
Qwen3-0.6B,3,0.8,0.5,1024,3072,1024,614,0.599609375,0.40402117371559143,0.8367369157479264,3.862839220556841,0.11106044230757832,0.47389867902775235,0.2852398157119751,0.5228025317192078,3.862839220556841,546.7397295996739,546.7397295996739,546,0.7397295996738649,547,1,0.5341796875
Qwen3-0.6B,4,0.8,0.5,1024,3072,1024,614,0.599609375,0.43755054473876953,0.9174798477668266,4.048308266400844,0.1320980785877757,0.5247889631773012,0.3512532114982605,0.5238478779792786,4.048308266400844,605.4521536398884,605.4521536398884,605,0.45215363988836543,606,1,0.591796875
Qwen3-0.6B,5,0.8,0.5,1024,3072,1024,614,0.599609375,0.4718179255723953,1.0,4.096440320924379,0.13755766701600555,0.5687788335080027,0.3891923129558563,0.5544435381889343,4.096440320924379,656.2035291429293,656.2035291429293,656,0.2035291429292556,656,0,0.640625
Qwen3-0.6B,6,0.8,0.5,1024,3072,1024,614,0.599609375,0.4493945389986038,0.9460016718920976,4.253970772206001,0.15542624622843954,0.5507139590602685,0.3801378905773163,0.5186511874198914,4.253970772206001,635.3619758575953,635.3619758575953,635,0.3619758575953256,635,0,0.6201171875
Qwen3-0.6B,7,0.8,0.5,1024,3072,1024,614,0.599609375,0.3647387772798538,0.7421399767609806,4.370078285933584,0.16859624789682243,0.4553681123289015,0.38119521737098694,0.3482823371887207,4.370078285933584,525.3609043895173,525.3609043895173,525,0.360904389517259,525,0,0.5126953125
Qwen3-0.6B,8,0.8,0.5,1024,3072,1024,614,0.599609375,0.4264995753765106,0.8908677270878255,4.351884232834667,0.16653250798908847,0.5287001175384569,0.35653260350227356,0.4964665472507477,4.351884232834667,609.9644757299773,609.9644757299773,609,0.9644757299772664,610,1,0.595703125
Qwen3-0.6B,9,0.8,0.5,1024,3072,1024,614,0.599609375,0.3894316703081131,0.8016035611435347,4.531390529073648,0.1868937933620522,0.4942486772527934,0.30673232674598694,0.47213101387023926,4.531390529073648,570.2176438022185,570.2176438022185,570,0.21764380221850388,570,0,0.556640625
Qwen3-0.6B,10,0.8,0.5,1024,3072,1024,614,0.599609375,0.3316478729248047,0.6624529274889658,4.993031090779406,0.23925738958996565,0.45085515853946573,0.2906745970249176,0.3726211488246918,4.993031090779406,520.1542827133521,520.1542827133521,520,0.1542827133521314,520,0,0.5078125
Qwen3-0.6B,11,0.8,0.5,1024,3072,1024,614,0.599609375,0.3403451293706894,0.6833970121685015,4.875670815943235,0.22594528802330308,0.45467115009590225,0.291177898645401,0.3895123600959778,4.875670815943235,524.556814908633,524.556814908633,524,0.5568149086329868,525,1,0.5126953125
Qwen3-0.6B,12,0.8,0.5,1024,3072,1024,614,0.599609375,0.3485386073589325,0.7031279351179878,4.9139201156992245,0.23028388184405066,0.4667059084810192,0.29044032096862793,0.40663689374923706,4.9139201156992245,538.4413873636048,538.4413873636048,538,0.4413873636048038,538,0,0.525390625
Qwen3-0.6B,13,0.8,0.5,1024,3072,1024,614,0.599609375,0.3631526678800583,0.7383204263329783,4.9086229359062825,0.229683026098621,0.4840017262157997,0.29235947132110596,0.4339458644390106,4.9086229359062825,558.3956753369741,558.3956753369741,558,0.39567533697413637,558,0,0.544921875
Qwen3-0.6B,14,0.8,0.5,1024,3072,1024,614,0.599609375,0.3423183411359787,0.6881487536584778,5.0666012179599536,0.2476024024715977,0.46787557806503777,0.2911534607410431,0.3934832215309143,5.0666012179599536,539.7908421318672,539.7908421318672,539,0.7908421318671799,540,1,0.52734375
Qwen3-0.6B,15,0.8,0.5,1024,3072,1024,614,0.599609375,0.30139637738466263,0.589603530875494,5.483275152364272,0.2948654626741598,0.4422344967748269,0.24573256075382233,0.35706019401550293,5.483275152364272,510.2085738714567,510.2085738714567,510,0.20857387145667872,510,0,0.498046875
Qwen3-0.6B,16,0.8,0.5,1024,3072,1024,614,0.599609375,0.27267269045114517,0.520433289065651,6.585236748677262,0.4198602678853601,0.47014677847550557,0.21465320885181427,0.3306921720504761,6.585236748677262,542.4111395777968,542.4111395777968,542,0.41113957779680277,542,0,0.529296875
Qwen3-0.6B,17,0.8,0.5,1024,3072,1024,614,0.599609375,0.28448987752199173,0.5488905581166095,6.646507663778951,0.42681018893875433,0.4878503735276819,0.19328297674655914,0.3756967782974243,6.646507663778951,562.8358826718838,562.8358826718838,562,0.8358826718838372,563,1,0.5498046875
Qwen3-0.6B,18,0.8,0.5,1024,3072,1024,614,0.599609375,0.2929583862423897,0.569283789574482,7.0884236552472295,0.47693643967027527,0.5231101146223787,0.19579879939556122,0.39011797308921814,7.0884236552472295,603.51525605908,603.51525605908,603,0.5152560590800022,604,1,0.58984375
Qwen3-0.6B,19,0.8,0.5,1024,3072,1024,614,0.599609375,0.2957574352622032,0.5760242507828996,7.789736374847939,0.5564858968128177,0.5662550737978587,0.2024700790643692,0.38904479146003723,7.789736374847939,653.2918525281525,653.2918525281525,653,0.2918525281525035,653,0,0.6376953125
Qwen3-0.6B,20,0.8,0.5,1024,3072,1024,614,0.599609375,0.31449004262685776,0.6211347195100188,8.169150248169954,0.5995225719101976,0.6103286457101083,0.20786477625370026,0.42111530900001526,8.169150248169954,704.1397950445399,704.1397950445399,704,0.1397950445399374,704,0,0.6875
Qwen3-0.6B,21,0.8,0.5,1024,3072,1024,614,0.599609375,0.3230208605527878,0.6416779993521258,8.67506745464774,0.6569084398826095,0.6492932196173676,0.23568344116210938,0.4103582799434662,8.67506745464774,749.0934561218985,749.0934561218985,749,0.09345612189849817,749,0,0.7314453125
Qwen3-0.6B,22,0.8,0.5,1024,3072,1024,614,0.599609375,0.33750075846910477,0.6765474101826955,8.88205777027925,0.6803872201500271,0.6784673151663613,0.24670927226543427,0.42829224467277527,8.88205777027925,782.7517839832382,782.7517839832382,782,0.7517839832381696,783,1,0.7646484375
Qwen3-0.6B,23,0.8,0.5,1024,3072,1024,614,0.599609375,0.3394097536802292,0.6811445101536335,8.945683618481352,0.6876042597719417,0.6843743849627877,0.25677263736724854,0.42204686999320984,8.945683618481352,789.5668056031558,789.5668056031558,789,0.5668056031557853,790,1,0.771484375
Qwen3-0.6B,24,0.8,0.5,1024,3072,1024,614,0.599609375,0.34725403785705566,0.700034530595371,9.19063867513323,0.7153893565431395,0.7077119435692553,0.27015042304992676,0.42435765266418457,9.19063867513323,816.4914860183748,816.4914860183748,816,0.4914860183747578,817,1,0.7978515625
Qwen3-0.6B,25,0.8,0.5,1024,3072,1024,614,0.599609375,0.29430726170539856,0.5725320509193309,9.358183281053762,0.7343938349671554,0.6534629429432431,0.25819599628448486,0.33041852712631226,9.358183281053762,753.9040907672024,753.9040907672024,753,0.9040907672024332,754,1,0.736328125
Qwen3-0.6B,26,0.8,0.5,1024,3072,1024,614,0.599609375,0.2920568287372589,0.5671127259927171,9.700386491848008,0.7732097282060746,0.6701612270993959,0.18561270833015442,0.3985009491443634,9.700386491848008,773.1690006906563,773.1690006906563,773,0.16900069065627576,773,0,0.7548828125
Qwen3-0.6B,27,0.8,0.5,1024,3072,1024,614,0.599609375,0.05655716918408871,0.0,11.699782942860654,1.0,0.5,0.10807469487190247,0.005039643496274948,11.699782942860654,576.852979123472,576.852979123472,576,0.8529791234719823,577,1,0.5634765625
