base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_cca,gaussian_mi_logdet,gaussian_mi_bits,mlp_output_effective_rank_centered,mlp_output_effective_rank_centered_ratio,top_5_canonical_correlations,cca_effective_dims_l,cca_effective_dims_L
Qwen3-0.6B,0,27,1024,65536,45.19541931152344,76.24072265625,65.20320731163216,442.3097839355469,0.4319431483745575,"0.952502,0.940877,0.925525,0.911985,0.893792",1024,995
Qwen3-0.6B,1,27,1024,65536,49.05469512939453,80.3450927734375,70.77096539549748,431.4022216796875,0.4212912321090698,"0.962760,0.959397,0.945062,0.930049,0.915148",1024,995
Qwen3-0.6B,2,27,1024,65536,3.749257802963257,53.2462158203125,5.409035639349341,1.0041881799697876,0.0009806525195017457,"0.999723,0.000000,0.000000,0.000000,0.000000",1,995
Qwen3-0.6B,3,27,1024,65536,44.385738372802734,45.155517578125,64.03508463663748,535.3855590820312,0.5228374600410461,"0.947447,0.930673,0.916696,0.891210,0.879959",1024,995
Qwen3-0.6B,4,27,1024,65536,45.021026611328125,45.8582763671875,64.95161182789315,536.5667724609375,0.5239909887313843,"0.945665,0.933486,0.924103,0.911590,0.888361",1024,995
Qwen3-0.6B,5,27,1024,65536,42.220767974853516,74.150390625,60.91169257984473,567.8660278320312,0.554556667804718,"0.933133,0.920989,0.909864,0.880948,0.861458",1024,995
Qwen3-0.6B,6,27,1024,65536,43.10002899169922,43.677978515625,62.18019808849502,531.195068359375,0.5187451839447021,"0.930214,0.922111,0.903882,0.882421,0.857288",1024,995
Qwen3-0.6B,7,27,1024,65536,39.51728439331055,40.16357421875,57.011390223627956,356.7669677734375,0.34840524196624756,"0.917861,0.907275,0.889440,0.864457,0.846988",1024,995
Qwen3-0.6B,8,27,1024,65536,40.93720245361328,41.5711669921875,59.05989896769539,508.4593200683594,0.4965423047542572,"0.927079,0.915653,0.900628,0.872552,0.854267",1024,995
Qwen3-0.6B,9,27,1024,65536,44.6389274597168,44.7113037109375,64.4003592767356,483.4020080566406,0.4720722734928131,"0.931870,0.925162,0.903739,0.889384,0.864298",1024,995
Qwen3-0.6B,10,27,1024,65536,45.11358642578125,45.3419189453125,65.08514741319027,382.1031494140625,0.3731476068496704,"0.938615,0.927053,0.904933,0.894981,0.874101",1024,995
Qwen3-0.6B,11,27,1024,65536,41.4302978515625,73.68280029296875,59.7712852530019,398.9439697265625,0.3895937204360962,"0.930490,0.909569,0.895208,0.886029,0.860435",1024,995
Qwen3-0.6B,12,27,1024,65536,39.158348083496094,39.9420166015625,56.49355458946366,416.6162414550781,0.40685179829597473,"0.928964,0.915810,0.890363,0.887074,0.862166",1024,995
Qwen3-0.6B,13,27,1024,65536,38.68315124511719,70.900390625,55.8079904672883,444.4735107421875,0.4340561628341675,"0.934749,0.917150,0.903764,0.894540,0.862322",1024,995
Qwen3-0.6B,14,27,1024,65536,41.326969146728516,41.63702392578125,59.62221344295643,402.8907165527344,0.39344796538352966,"0.948904,0.946102,0.927991,0.907248,0.877048",1024,995
Qwen3-0.6B,15,27,1024,65536,43.29098892211914,43.56640625,62.455695033120335,365.5996398925781,0.3570308983325958,"0.949166,0.942151,0.927003,0.918187,0.881952",1024,995
Qwen3-0.6B,16,27,1024,65536,55.52674865722656,56.34959411621094,80.10816492446867,338.55322265625,0.33061838150024414,"0.966067,0.959375,0.944646,0.938476,0.917226",1024,995
Qwen3-0.6B,17,27,1024,65536,59.930870056152344,60.807899475097656,86.46196902617186,384.604736328125,0.37559056282043457,"0.967276,0.964288,0.952502,0.946248,0.927064",1024,995
Qwen3-0.6B,18,27,1024,65536,65.28783416748047,66.25657653808594,94.1904345838051,399.3718566894531,0.39001157879829407,"0.969135,0.968161,0.958455,0.949718,0.932718",1024,995
Qwen3-0.6B,19,27,1024,65536,77.19949340820312,78.33755493164062,111.37532629915488,398.25482177734375,0.38892072439193726,"0.972623,0.968920,0.958797,0.948974,0.940311",1024,995
Qwen3-0.6B,20,27,1024,65536,87.0406494140625,88.35321044921875,125.57311326542283,431.1054992675781,0.42100146412849426,"0.974216,0.963672,0.959143,0.944290,0.940793",1024,995
Qwen3-0.6B,21,27,1024,65536,95.1828384399414,96.6124267578125,137.31980899503887,419.97412109375,0.41013097763061523,"0.975654,0.969642,0.964688,0.957711,0.944203",1024,995
Qwen3-0.6B,22,27,1024,65536,106.17062377929688,107.79425048828125,153.17183241447947,438.4671325683594,0.42819055914878845,"0.975278,0.969112,0.961536,0.948740,0.934361",1024,995
Qwen3-0.6B,23,27,1024,65536,109.05062866210938,110.81500244140625,157.32680117664904,432.0391845703125,0.4219132661819458,"0.973764,0.963660,0.954362,0.953157,0.948401",1024,995
Qwen3-0.6B,24,27,1024,65536,113.39664459228516,115.3128662109375,163.5967768067381,434.5273132324219,0.424343079328537,"0.971325,0.964237,0.956720,0.942913,0.932811",1024,995
Qwen3-0.6B,25,27,1024,65536,122.65059661865234,124.6397705078125,176.9474075038024,338.4050598144531,0.3304736912250519,"0.976279,0.963688,0.959626,0.949515,0.941233",1024,995
Qwen3-0.6B,26,27,1024,65536,144.39625549316406,146.7218017578125,208.31976172292354,408.03289794921875,0.39846962690353394,"0.994997,0.982080,0.976628,0.973965,0.959643",1024,995
Qwen3-0.6B,27,27,1024,65536,nan,nan,nan,5.164029598236084,0.005042997654527426,,0,0
