base_model_id,layer_index,final_layer_index,hidden_size,token_count,gaussian_mi_logdet,gaussian_mi_cca,gaussian_mi_bits,residual_effective_rank,residual_effective_rank_ratio,top_5_canonical_correlations
Qwen3-0.6B,0,27,1024,65536,88.05517578125,88.23080444335938,127.03676542421533,333.15966796875,0.3253512382507324,"0.978627,0.972738,0.967032,0.959391,0.954522"
Qwen3-0.6B,1,27,1024,65536,94.54730224609375,94.71590423583984,136.40292407986942,340.06793212890625,0.332097589969635,"0.980328,0.975894,0.969184,0.966725,0.959849"
Qwen3-0.6B,2,27,1024,65536,96.491455078125,inf,139.20774372937112,1.015749454498291,0.0009919428266584873,"1540.273560,1.177657,1.107513,1.064874,1.020502"
Qwen3-0.6B,3,27,1024,65536,100.03045654296875,inf,144.31344359239998,1.0221755504608154,0.00099821831099689,"2062.936523,1.297690,1.092967,1.039588,1.019334"
Qwen3-0.6B,4,27,1024,65536,75.4703369140625,inf,108.88068080013724,1.0274957418441772,0.0010034138103947043,"2069.728760,364.864532,1.114279,1.083946,1.065080"
Qwen3-0.6B,5,27,1024,65536,143.87933349609375,inf,207.57400092122379,1.0390983819961548,0.00101474451366812,"1862.637329,0.993632,0.979702,0.972486,0.968101"
Qwen3-0.6B,6,27,1024,65536,116.62493896484375,inf,168.25422108855813,1.0463743209838867,0.0010218499228358269,"1652.324585,0.985729,0.980113,0.971882,0.965695"
Qwen3-0.6B,7,27,1024,65536,118.13702392578125,inf,170.43569856310543,1.053134560585022,0.0010284517193213105,"1614.692383,1.016022,0.978955,0.970669,0.967333"
Qwen3-0.6B,8,27,1024,65536,120.3172607421875,inf,173.58111540609826,1.0606822967529297,0.001035822555422783,"1467.854614,0.981151,0.978026,0.969436,0.965322"
Qwen3-0.6B,9,27,1024,65536,127.192138671875,inf,183.49946770197542,1.0751110315322876,0.0010499131167307496,"1064.589844,0.981783,0.979681,0.970326,0.965545"
Qwen3-0.6B,10,27,1024,65536,131.88134765625,132.945556640625,190.2645662494252,1.101146936416626,0.0010753388050943613,"0.994407,0.982077,0.979572,0.970187,0.965725"
Qwen3-0.6B,11,27,1024,65536,132.4681396484375,132.98789978027344,191.11112814658745,1.147583246231079,0.0011206867638975382,"0.994534,0.982346,0.979247,0.969409,0.965351"
Qwen3-0.6B,12,27,1024,65536,131.2806396484375,132.05621337890625,189.3979277855318,1.1593588590621948,0.0011321863858029246,"0.994545,0.982405,0.979238,0.969607,0.965186"
Qwen3-0.6B,13,27,1024,65536,130.95654296875,131.42782592773438,188.93035511297808,1.1814351081848145,0.0011537452228367329,"0.994460,0.982888,0.980004,0.971001,0.965958"
Qwen3-0.6B,14,27,1024,65536,133.6201171875,134.04815673828125,192.7730804294084,1.1978542804718018,0.001169779570773244,"0.994478,0.984576,0.982085,0.974903,0.967891"
Qwen3-0.6B,15,27,1024,65536,141.1500244140625,141.58778381347656,203.63644024352408,1.252681851387024,0.0012233221204951406,"0.994652,0.985587,0.983320,0.977283,0.971088"
Qwen3-0.6B,16,27,1024,65536,155.8758544921875,156.00978088378906,224.88132227020856,1.4598109722137451,0.0014255966525524855,"0.994897,0.988214,0.986015,0.981583,0.976326"
Qwen3-0.6B,17,27,1024,65536,178.715576171875,178.7265625,257.8320754727779,1.7177345752716064,0.0016774751711636782,"0.995145,0.990261,0.988194,0.985185,0.980601"
Qwen3-0.6B,18,27,1024,65536,203.749267578125,203.80995178222656,293.9480579197194,2.1110265254974365,0.0020615493413060904,"0.995474,0.991973,0.990136,0.987665,0.984751"
Qwen3-0.6B,19,27,1024,65536,235.072998046875,235.08941650390625,339.1386485291276,2.992007255554199,0.0029218820855021477,"0.995808,0.993396,0.992000,0.990105,0.987798"
Qwen3-0.6B,20,27,1024,65536,285.69384765625,285.7042236328125,412.1690972261589,4.780716896057129,0.00466866884380579,"0.996124,0.994682,0.993455,0.991903,0.989859"
Qwen3-0.6B,21,27,1024,65536,344.55078125,344.558349609375,497.08170344379306,7.661880970001221,0.007482305634766817,"0.996557,0.995539,0.994372,0.993186,0.991327"
Qwen3-0.6B,22,27,1024,65536,413.727783203125,413.7342834472656,596.8830211051327,11.873714447021484,0.011595424264669418,"0.996904,0.996341,0.995382,0.994388,0.992667"
Qwen3-0.6B,23,27,1024,65536,495.001708984375,495.00555419921875,714.1365107833196,18.859580993652344,0.018417559564113617,"0.997304,0.997156,0.996298,0.995501,0.994195"
Qwen3-0.6B,24,27,1024,65536,619.93017578125,619.926513671875,894.3701902970328,27.53368377685547,0.02688836306333542,"0.997930,0.997740,0.997378,0.996615,0.996060"
Qwen3-0.6B,25,27,1024,65536,822.55322265625,822.5524291992188,1186.6934551934073,40.17973327636719,0.03923802077770233,"0.998660,0.998374,0.998278,0.997881,0.997710"
Qwen3-0.6B,26,27,1024,65536,1288.376953125,1288.3857421875,1858.7350410690701,49.69893264770508,0.04853411391377449,"0.999480,0.999342,0.999272,0.999246,0.999147"
Qwen3-0.6B,27,27,1024,65536,nan,nan,nan,247.60533142089844,0.24180208146572113,
