layer_index,hidden_size,max_rank,target_module_intermediate_size,target_module_original_params,target_module_factorized_params_per_rank,mlp_input_effective_rank,mlp_input_effective_rank_ratio,normalized_mlp_input_effective_rank,mlp_output_uncentered_trace,log_mlp_output_uncentered_trace,normalized_log_mlp_output_trace,trace_weight,min_log_trace,max_log_trace,alpha,beta,trace_mix,allocation_rule,target_factorized_param_ratio,trace_aware_unscaled_rank_score,rank_budget_scale,trace_aware_raw_rank,trace_aware_clipped_rank,initial_floor_rank,fractional_part,target_rank,budget_adjustment,uniform_rank,uniform_total_rank_budget,rounding,requested_uniform_rank,requested_total_rank_budget_per_module,actual_targeted_factorized_param_ratio
1,2048,2048,8192,16777216,10240,824.8893255585153,0.4027779909953688,0.3252475311574081,39171.45914840698,10.575703677648638,0.5552089650732156,0.7776044825366077,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.38273788963636,1826.260003414147,698.9788996340222,698.9788996340222,698,0.9788996340222411,699,1,819,18018,round,819.2,18022.4,0.4998779296875
2,2048,2048,8192,16777216,10240,990.601973129815,0.48369236969229246,0.7416294923693099,473.20397877693176,6.159526540304157,0.0,0.5,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.5562221192769824,1826.260003414147,1015.8062094498059,1015.8062094498059,1015,0.8062094498059196,1016,1,819,18018,round,819.2,18022.4,0.4998779296875
3,2048,2048,8192,16777216,10240,961.8376609507995,0.4696472953861326,0.6693541356385774,753.4285664558411,6.624634211257783,0.058474092095195204,0.5292370460475976,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.5166341247527318,1826.260003414147,943.5082384347888,943.5082384347888,943,0.5082384347888365,943,0,819,18018,round,819.2,18022.4,0.4998779296875
4,2048,2048,8192,16777216,10240,996.0248692599905,0.48634026819335474,0.7552554657589354,997.6607041358948,6.905413242690848,0.09377408813429242,0.5468870440671462,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.5898851213527747,1826.260003414147,1077.2836037356728,1077.2836037356728,1077,0.28360373567284114,1077,0,819,18018,round,819.2,18022.4,0.4998779296875
5,2048,2048,8192,16777216,10240,1063.9233136189189,0.5194938054779877,0.9258621625908329,1161.5891499519348,7.057544303420791,0.11290025227048733,0.5564501261352437,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.7226216850107465,1826.260003414147,1319.6950809348625,1319.6950809348625,1319,0.6950809348625171,1320,1,819,18018,round,819.2,18022.4,0.4998779296875
6,2048,2048,8192,16777216,10240,1090.4834561259029,0.532462625061476,0.9925991581624428,1586.4440546035767,7.369250346993714,0.1520884425257483,0.5760442212628741,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.7824714792532692,1826.260003414147,1428.996366372548,1428.996366372548,1428,0.9963663725479819,1429,1,819,18018,round,819.2,18022.4,0.4998779296875
7,2048,2048,8192,16777216,10240,980.1560471271509,0.47859181988630417,0.7153822793809818,1347292.583984375,14.113607643375175,1.0,1.0,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.7865367095357363,1826.260003414147,1436.4205338420857,1436.4205338420857,1436,0.4205338420856606,1436,0,819,18018,round,819.2,18022.4,0.4998779296875
8,2048,2048,8192,16777216,10240,1093.4288601284886,0.5339008106096136,1.0,2976.4592094421387,7.998489688297337,0.23119743489705785,0.6155987174485289,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.8077993587242644,1826.260003414147,1475.2516596217208,1475.2516596217208,1475,0.2516596217208189,1475,0,819,18018,round,819.2,18022.4,0.4998779296875
9,2048,2048,8192,16777216,10240,1006.7011238772125,0.49155328314317015,0.7820814196077738,3368.540391921997,8.122234811399624,0.24675487283347894,0.6233774364167395,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.6482497829142001,1826.260003414147,1183.872650758107,1183.872650758107,1183,0.8726507581070564,1184,1,819,18018,round,819.2,18022.4,0.4998779296875
10,2048,2048,8192,16777216,10240,928.3665324030624,0.4533039708999328,0.5852520809496856,3637.64208984375,8.199090973216828,0.25641735437236224,0.6282086771861811,6.159526540304157,14.113607643375175,0.5,0.5,0.25,mixture,0.5,0.5030433993053547,1826.260003414147,918.6880401328611,918.6880401328611,918,0.688040132861147,919,1,819,18018,round,819.2,18022.4,0.4998779296875
