module_name,layer_index,block_name,out_features,in_features,num_singular_values,effective_rank,effective_rank_ratio,stable_rank,spectral_norm,frobenius_norm
model.layers.0.mlp.gate_proj,0,mlp.gate_proj,3072,1024,1024,942.10107421875,0.920020580291748,67.36933898925781,7.916100978851318,64.97441864013672
model.layers.0.mlp.up_proj,0,mlp.up_proj,3072,1024,1024,969.1163940429688,0.9464027285575867,272.5849609375,2.7778875827789307,45.86333465576172
model.layers.0.mlp.down_proj,0,mlp.down_proj,1024,3072,1024,968.28955078125,0.9455952644348145,124.09599304199219,4.17839241027832,46.54661178588867
model.layers.1.mlp.gate_proj,1,mlp.gate_proj,3072,1024,1024,951.7923583984375,0.9294847249984741,72.2553482055664,9.134190559387207,77.64348602294922
model.layers.1.mlp.up_proj,1,mlp.up_proj,3072,1024,1024,963.7587890625,0.9411706924438477,224.87149047851562,2.7657482624053955,41.4743766784668
model.layers.1.mlp.down_proj,1,mlp.down_proj,1024,3072,1024,958.6273193359375,0.9361594915390015,113.9785385131836,3.7814857959747314,40.371421813964844
model.layers.2.mlp.gate_proj,2,mlp.gate_proj,3072,1024,1024,944.2846069335938,0.9221529364585876,83.8221206665039,7.698693752288818,70.48494720458984
model.layers.2.mlp.up_proj,2,mlp.up_proj,3072,1024,1024,961.180419921875,0.938652753829956,79.01472473144531,4.722982883453369,41.98270034790039
model.layers.2.mlp.down_proj,2,mlp.down_proj,1024,3072,1024,958.5765380859375,0.9361099004745483,110.61298370361328,3.996126174926758,42.028343200683594
model.layers.3.mlp.gate_proj,3,mlp.gate_proj,3072,1024,1024,951.048828125,0.9287586212158203,74.53206634521484,8.18877124786377,70.69526672363281
model.layers.3.mlp.up_proj,3,mlp.up_proj,3072,1024,1024,963.2694702148438,0.9406928420066833,240.1704559326172,2.816108226776123,43.642452239990234
model.layers.3.mlp.down_proj,3,mlp.down_proj,1024,3072,1024,954.0693359375,0.9317083358764648,151.16661071777344,3.4595682621002197,42.535335540771484
model.layers.4.mlp.gate_proj,4,mlp.gate_proj,3072,1024,1024,944.748046875,0.9226055145263672,52.951011657714844,9.310973167419434,67.75357055664062
model.layers.4.mlp.up_proj,4,mlp.up_proj,3072,1024,1024,960.8335571289062,0.9383140206336975,139.36659240722656,3.739156484603882,44.14209747314453
model.layers.4.mlp.down_proj,4,mlp.down_proj,1024,3072,1024,951.9421997070312,0.9296310544013977,139.75653076171875,3.625950813293457,42.86550521850586
model.layers.5.mlp.gate_proj,5,mlp.gate_proj,3072,1024,1024,943.2455444335938,0.9211382269859314,78.18749237060547,6.905397415161133,61.06007385253906
model.layers.5.mlp.up_proj,5,mlp.up_proj,3072,1024,1024,957.279296875,0.9348430633544922,242.81349182128906,2.9865944385528564,46.53853225708008
model.layers.5.mlp.down_proj,5,mlp.down_proj,1024,3072,1024,953.0926513671875,0.930754542350769,129.4297332763672,3.974937677383423,45.22174835205078
model.layers.6.mlp.gate_proj,6,mlp.gate_proj,3072,1024,1024,942.0485229492188,0.9199692606925964,64.86418151855469,7.3755903244018555,59.40176010131836
model.layers.6.mlp.up_proj,6,mlp.up_proj,3072,1024,1024,956.8179321289062,0.934392511844635,276.3681945800781,2.7945358753204346,46.457271575927734
model.layers.6.mlp.down_proj,6,mlp.down_proj,1024,3072,1024,937.05810546875,0.9150958061218262,132.51113891601562,3.875181198120117,44.60856246948242
model.layers.7.mlp.gate_proj,7,mlp.gate_proj,3072,1024,1024,933.7267456054688,0.9118425250053406,65.11835479736328,7.404042720794678,59.74761962890625
model.layers.7.mlp.up_proj,7,mlp.up_proj,3072,1024,1024,952.9781494140625,0.9306427240371704,230.67933654785156,3.037421703338623,46.13275909423828
model.layers.7.mlp.down_proj,7,mlp.down_proj,1024,3072,1024,934.385009765625,0.9124853610992432,94.3114013671875,4.508680820465088,43.78562927246094
model.layers.8.mlp.gate_proj,8,mlp.gate_proj,3072,1024,1024,934.2540283203125,0.9123574495315552,74.35552215576172,6.773316860198975,58.40607452392578
model.layers.8.mlp.up_proj,8,mlp.up_proj,3072,1024,1024,952.565185546875,0.9302394390106201,198.0528564453125,3.279545783996582,46.15346145629883
model.layers.8.mlp.down_proj,8,mlp.down_proj,1024,3072,1024,927.9140625,0.9061660766601562,98.55422973632812,4.472670078277588,44.402198791503906
model.layers.9.mlp.gate_proj,9,mlp.gate_proj,3072,1024,1024,924.2739868164062,0.9026113152503967,75.10208129882812,6.910012722015381,59.8831787109375
model.layers.9.mlp.up_proj,9,mlp.up_proj,3072,1024,1024,948.514892578125,0.9262840747833252,236.08648681640625,3.0533437728881836,46.91495132446289
model.layers.9.mlp.down_proj,9,mlp.down_proj,1024,3072,1024,928.2305297851562,0.9064751267433167,105.19157409667969,4.221611976623535,43.298095703125
model.layers.10.mlp.gate_proj,10,mlp.gate_proj,3072,1024,1024,922.3685302734375,0.9007505178451538,85.91633605957031,6.421482563018799,59.52140808105469
model.layers.10.mlp.up_proj,10,mlp.up_proj,3072,1024,1024,946.811279296875,0.9246203899383545,221.763916015625,3.116114854812622,46.40437316894531
model.layers.10.mlp.down_proj,10,mlp.down_proj,1024,3072,1024,935.652099609375,0.9137227535247803,112.89762878417969,3.9453437328338623,41.92057800292969
model.layers.11.mlp.gate_proj,11,mlp.gate_proj,3072,1024,1024,925.227783203125,0.9035427570343018,93.17691802978516,5.7083001136779785,55.101192474365234
model.layers.11.mlp.up_proj,11,mlp.up_proj,3072,1024,1024,944.6620483398438,0.9225215315818787,241.53880310058594,3.0783424377441406,47.84211349487305
model.layers.11.mlp.down_proj,11,mlp.down_proj,1024,3072,1024,922.4151611328125,0.9007960557937622,83.22733306884766,4.8746657371521,44.47109603881836
model.layers.12.mlp.gate_proj,12,mlp.gate_proj,3072,1024,1024,922.6689453125,0.9010438919067383,100.8367919921875,5.247983932495117,52.69895553588867
model.layers.12.mlp.up_proj,12,mlp.up_proj,3072,1024,1024,945.1932373046875,0.9230402708053589,243.63848876953125,3.0243656635284424,47.20709228515625
model.layers.12.mlp.down_proj,12,mlp.down_proj,1024,3072,1024,915.6956176757812,0.8942340016365051,78.4737548828125,4.999640464782715,44.28952407836914
model.layers.13.mlp.gate_proj,13,mlp.gate_proj,3072,1024,1024,915.2879028320312,0.8938358426094055,105.4997787475586,4.925474643707275,50.591068267822266
model.layers.13.mlp.up_proj,13,mlp.up_proj,3072,1024,1024,938.4989013671875,0.916502833366394,243.33192443847656,2.9029603004455566,45.2835693359375
model.layers.13.mlp.down_proj,13,mlp.down_proj,1024,3072,1024,909.2930297851562,0.8879814743995667,78.80449676513672,4.797845363616943,42.59138488769531
model.layers.14.mlp.gate_proj,14,mlp.gate_proj,3072,1024,1024,913.1614379882812,0.8917592167854309,103.19258117675781,4.76096773147583,48.36369323730469
model.layers.14.mlp.up_proj,14,mlp.up_proj,3072,1024,1024,937.1492919921875,0.9151848554611206,233.34918212890625,2.859872341156006,43.68675994873047
model.layers.14.mlp.down_proj,14,mlp.down_proj,1024,3072,1024,909.9835205078125,0.8886557817459106,82.19914245605469,4.618951797485352,41.877140045166016
model.layers.15.mlp.gate_proj,15,mlp.gate_proj,3072,1024,1024,914.3740234375,0.8929433822631836,98.31002807617188,4.901305675506592,48.59714126586914
model.layers.15.mlp.up_proj,15,mlp.up_proj,3072,1024,1024,938.0957641601562,0.9161091446876526,227.90853881835938,2.952578544616699,44.574012756347656
model.layers.15.mlp.down_proj,15,mlp.down_proj,1024,3072,1024,906.6338500976562,0.8853846192359924,103.61116027832031,4.108675479888916,41.822025299072266
model.layers.16.mlp.gate_proj,16,mlp.gate_proj,3072,1024,1024,916.546142578125,0.8950645923614502,77.88465118408203,5.455592632293701,48.14685821533203
